1.000,0.454,0.159,0.484,0.133,0.277,0.047,-0.021,0.492,0.148,0.148,0.141,0.171,0.147,0.120,0.260,0.814,-0.211,0.046,0.502,0.484,-0.091,0.133,0.148,0.484,0.177,-0.211,-0.036,0.021,0.133,0.706,0.046,-0.101,0.502,0.510,-0.074,0.307
0.454,1.000,-0.204,0.127,-0.231,0.004,-0.284,-0.132,0.180,0.032,0.180,-0.565,-0.321,-0.333,-0.229,0.212,0.287,-0.726,-0.313,0.177,0.127,-0.535,-0.231,0.032,0.127,-0.200,-0.726,0.003,-0.715,-0.231,0.269,-0.313,-0.374,0.177,0.042,-0.469,-0.136
0.159,-0.204,1.000,0.578,0.669,0.690,0.705,0.322,0.531,0.261,0.662,0.454,0.640,0.653,0.698,0.568,0.347,0.622,0.690,0.386,0.578,0.339,0.669,0.261,0.578,0.770,0.622,0.648,0.312,0.669,0.456,0.690,0.496,0.386,0.701,0.706,0.639
0.484,0.127,0.578,1.000,0.736,0.746,0.603,0.350,0.989,0.356,0.540,0.474,0.699,0.691,0.738,0.418,0.535,0.285,0.637,0.827,1.000,0.078,0.736,0.356,1.000,0.762,0.285,0.528,0.208,0.736,0.861,0.637,0.121,0.827,0.773,0.540,0.846
0.133,-0.231,0.669,0.736,1.000,0.885,0.823,0.346,0.716,0.558,0.735,0.652,0.864,0.862,0.994,0.568,0.355,0.630,0.693,0.597,0.736,0.317,1.000,0.558,0.736,0.932,0.630,0.683,0.323,1.000,0.596,0.693,0.531,0.597,0.751,0.636,0.737
0.277,0.004,0.690,0.746,0.885,1.000,0.803,0.283,0.718,0.531,0.716,0.517,0.841,0.851,0.895,0.565,0.536,0.527,0.654,0.475,0.746,0.272,0.885,0.531,0.746,0.942,0.527,0.719,0.274,0.885,0.699,0.654,0.349,0.475,0.828,0.668,0.778
0.047,-0.284,0.705,0.603,0.823,0.803,1.000,0.540,0.580,0.749,0.676,0.593,0.905,0.898,0.804,0.605,0.192,0.673,0.874,0.480,0.603,0.494,0.823,0.749,0.603,0.861,0.673,0.766,0.440,0.823,0.484,0.874,0.648,0.480,0.637,0.733,0.615
-0.021,-0.132,0.322,0.350,0.346,0.283,0.540,1.000,0.353,0.385,0.335,0.246,0.439,0.427,0.332,0.312,-0.023,0.238,0.695,0.322,0.350,-0.034,0.346,0.385,0.350,0.310,0.238,0.428,0.125,0.346,0.286,0.695,0.389,0.322,0.286,0.227,0.263
0.492,0.180,0.531,0.989,0.716,0.718,0.580,0.353,1.000,0.373,0.564,0.444,0.652,0.636,0.710,0.450,0.522,0.245,0.583,0.873,0.989,0.033,0.716,0.373,0.989,0.712,0.245,0.488,0.159,0.716,0.857,0.583,0.152,0.873,0.747,0.490,0.772
0.148,0.032,0.261,0.356,0.558,0.531,0.749,0.385,0.373,1.000,0.635,0.253,0.684,0.653,0.498,0.665,0.160,0.320,0.562,0.421,0.356,0.168,0.558,1.000,0.356,0.494,0.320,0.687,0.021,0.558,0.370,0.562,0.506,0.421,0.477,0.341,0.224
0.148,0.180,0.662,0.540,0.735,0.716,0.676,0.335,0.564,0.635,1.000,0.189,0.541,0.531,0.711,0.911,0.255,0.330,0.455,0.549,0.540,-0.021,0.735,0.635,0.540,0.645,0.330,0.753,-0.229,0.735,0.425,0.455,0.577,0.549,0.620,0.356,0.350
0.141,-0.565,0.454,0.474,0.652,0.517,0.593,0.246,0.444,0.253,0.189,1.000,0.703,0.698,0.652,0.033,0.398,0.736,0.606,0.297,0.474,0.714,0.652,0.253,0.474,0.645,0.736,0.222,0.715,0.652,0.473,0.606,0.262,0.297,0.569,0.706,0.627
0.171,-0.321,0.640,0.699,0.864,0.841,0.905,0.439,0.652,0.684,0.541,0.703,1.000,0.997,0.861,0.413,0.411,0.715,0.878,0.455,0.699,0.445,0.864,0.684,0.699,0.912,0.715,0.735,0.503,0.864,0.643,0.878,0.401,0.455,0.797,0.805,0.788
0.147,-0.333,0.653,0.691,0.862,0.851,0.898,0.427,0.636,0.653,0.531,0.698,0.997,1.000,0.863,0.395,0.404,0.722,0.877,0.419,0.691,0.447,0.862,0.653,0.691,0.922,0.722,0.748,0.509,0.862,0.629,0.877,0.376,0.419,0.795,0.819,0.809
0.120,-0.229,0.698,0.738,0.994,0.895,0.804,0.332,0.710,0.498,0.711,0.652,0.861,0.863,1.000,0.522,0.377,0.637,0.704,0.555,0.738,0.326,0.994,0.498,0.738,0.948,0.637,0.678,0.328,0.994,0.600,0.704,0.487,0.555,0.767,0.658,0.770
0.260,0.212,0.568,0.418,0.568,0.565,0.605,0.312,0.450,0.665,0.911,0.033,0.413,0.395,0.522,1.000,0.176,0.147,0.329,0.587,0.418,-0.069,0.568,0.665,0.418,0.471,0.147,0.638,-0.196,0.568,0.371,0.329,0.666,0.587,0.485,0.151,0.200
0.814,0.287,0.347,0.535,0.355,0.536,0.192,-0.023,0.522,0.160,0.255,0.398,0.411,0.404,0.377,0.176,1.000,0.127,0.226,0.310,0.535,0.087,0.355,0.160,0.535,0.429,0.127,0.161,0.096,0.355,0.761,0.226,-0.145,0.310,0.789,0.289,0.510
-0.211,-0.726,0.622,0.285,0.630,0.527,0.673,0.238,0.245,0.320,0.330,0.736,0.715,0.722,0.637,0.147,0.127,1.000,0.635,0.063,0.285,0.531,0.630,0.320,0.285,0.657,1.000,0.466,0.610,0.630,0.145,0.635,0.454,0.063,0.477,0.867,0.446
0.046,-0.313,0.690,0.637,0.693,0.654,0.874,0.695,0.583,0.562,0.455,0.606,0.878,0.877,0.704,0.329,0.226,0.635,1.000,0.397,0.637,0.434,0.693,0.562,0.637,0.784,0.635,0.707,0.448,0.693,0.520,1.000,0.394,0.397,0.651,0.754,0.710
0.502,0.177,0.386,0.827,0.597,0.475,0.480,0.322,0.873,0.421,0.549,0.297,0.455,0.419,0.555,0.587,0.310,0.063,0.397,1.000,0.827,-0.029,0.597,0.421,0.827,0.481,0.063,0.302,0.096,0.597,0.706,0.397,0.370,1.000,0.520,0.187,0.490
0.484,0.127,0.578,1.000,0.736,0.746,0.603,0.350,0.989,0.356,0.540,0.474,0.699,0.691,0.738,0.418,0.535,0.285,0.637,0.827,1.000,0.078,0.736,0.356,1.000,0.762,0.285,0.528,0.208,0.736,0.861,0.637,0.121,0.827,0.773,0.540,0.846
-0.091,-0.535,0.339,0.078,0.317,0.272,0.494,-0.034,0.033,0.168,-0.021,0.714,0.445,0.447,0.326,-0.069,0.087,0.531,0.434,-0.029,0.078,1.000,0.317,0.168,0.078,0.421,0.531,0.029,0.708,0.317,0.099,0.434,0.293,-0.029,0.194,0.536,0.327
